========== Richiesta 1 ==========
 | Numero misure: 342
 | Istante:   92 | Velocità: 0.591784    0.389063    0.70599      | Energia Cinetica: 33.4755 | Massa: 0   
 | Istante:  280 | Velocità: 0.170206    0.984533    0.0415216    | Energia Cinetica: 33.7762 | Massa: 0   
 | Istante:  132 | Velocità: 0.953417    0.118184    0.27754      | Energia Cinetica: 40.2231 | Massa: 0   
 | Istante:  279 | Velocità: 0.127423    0.584275    0.80149      | Energia Cinetica: 40.5432 | Massa: 0   
 | Istante:    6 | Velocità: 0.77111     0.0717733   0.632644     | Energia Cinetica: 36.2611 | Massa: 0   
 | Istante:  301 | Velocità: 0.504269    0.684185    0.526881     | Energia Cinetica: 29.2921 | Massa: 0   
 | Istante:  247 | Velocità: 0.215482    0.449082    0.867117     | Energia Cinetica: 45.1632 | Massa: 0   
 | Istante:   55 | Velocità: 0.489466    0.713367    0.501528     | Energia Cinetica: 35.6713 | Massa: 0   
 | Istante:  228 | Velocità: 0.727124    0.167321    0.665803     | Energia Cinetica: 32.9629 | Massa: 0   
 | Istante:   37 | Velocità: 0.650775    0.452632    0.609604     | Energia Cinetica: 28.1781 | Massa: 0   
 | Istante:   65 | Velocità: 0.112943    0.918001    0.380156     | Energia Cinetica: 26.5284 | Massa: 0   
 | Istante:  179 | Velocità: 0.822178    0.42874     0.374439     | Energia Cinetica: 40.1916 | Massa: 0   
 | Istante:  167 | Velocità: 0.432893    0.327061    0.840021     | Energia Cinetica: 34.9138 | Massa: 0   
 | Istante:  102 | Velocità: 0.87249     0.0127718   0.488465     | Energia Cinetica: 38.6501 | Massa: 0   
 | Istante:   15 | Velocità: 0.314987    0.91302     0.259185     | Energia Cinetica: 41.0277 | Massa: 0   
 | Istante:  189 | Velocità: 0.360036    0.626627    0.691168     | Energia Cinetica: 38.8734 | Massa: 0   
 | Istante:  196 | Velocità: 0.810694    0.206504    0.547842     | Energia Cinetica: 32.8046 | Massa: 0   
 | Istante:  166 | Velocità: 0.573639    0.539051    0.616736     | Energia Cinetica: 48.4888 | Massa: 0   
 | Istante:  333 | Velocità: 0.419498    0.8092      0.411359     | Energia Cinetica: 36.1862 | Massa: 0   
 | Istante:   26 | Velocità: 0.123929    0.946986    0.29641      | Energia Cinetica: 42.5138 | Massa: 0   
 | Istante:  276 | Velocità: 0.768999    0.618411    0.161889     | Energia Cinetica: 35.6088 | Massa: 0   
 | Istante:  113 | Velocità: 0.421937    0.793289    0.438933     | Energia Cinetica: 45.169 | Massa: 0   
 | Istante:  297 | Velocità: 0.633625    0.266113    0.726432     | Energia Cinetica: 37.4437 | Massa: 0   
 | Istante:  254 | Velocità: 0.233676    0.210234    0.949314     | Energia Cinetica: 43.2569 | Massa: 0   
 | Istante:   54 | Velocità: 0.833584    0.503475    0.227268     | Energia Cinetica: 31.7705 | Massa: 0   
 | Istante:   59 | Velocità: 0.749329    0.0682813   0.658668     | Energia Cinetica: 36.8187 | Massa: 0   
 | Istante:  181 | Velocità: 0.895297    0.0953951   0.435135     | Energia Cinetica: 48.6451 | Massa: 0   
 | Istante:  295 | Velocità: 0.699422    0.0264332   0.71422      | Energia Cinetica: 31.7776 | Massa: 0   
 | Istante:  223 | Velocità: 0.927785    0.0118143   0.372929     | Energia Cinetica: 36.1016 | Massa: 0   
